date,cityGatePrice,residentialPrice,residentialFromCO,commercialPrice,commercialFromCO,industrialPrice,industrialFromCO,electricPowerConsumersPrice
04/15/1991 12:00:00 AM,2.93,4.51,,4.02,96.2,,,
11/15/2012 12:00:00 AM,4.49,7.62,100,7.68,92.5,5.33,7.6,
12/15/1989 12:00:00 AM,2.79,4.49,,4.04,97.2,,,
08/15/1995 12:00:00 AM,3.84,6.71,,4.70,89.7,,,
03/15/1999 12:00:00 AM,1.84,5.00,,4.41,98.3,,,
04/15/1999 12:00:00 AM,1.14,5.14,,4.45,97.2,,,
09/15/2017 12:00:00 AM,5.1,12.16,100,9.35,91,5.77,6.2,
06/15/2014 12:00:00 AM,6.27,12.81,100,9.72,92,7.75,5.4,
02/15/2015 12:00:00 AM,4.24,7.97,100,7.45,95.2,6.15,9.2,
10/15/2011 12:00:00 AM,5.45,9.28,100,8.14,93.5,6.66,6.9,4.67
06/15/2016 12:00:00 AM,4.22,12.46,100,7.63,91.7,5.46,5.3,
01/15/1992 12:00:00 AM,2.67,4.25,,3.92,96.7,,,
06/15/1995 12:00:00 AM,2.96,5.12,,4.42,95.5,,,
04/15/2013 12:00:00 AM,4.71,7.60,100,7.09,94.2,5.68,6.9,
09/15/2013 12:00:00 AM,7.63,12.34,100,8.88,91.4,7.35,4.9,
01/15/1997 12:00:00 AM,4.2,4.02,,3.53,94.6,,,
05/15/1998 12:00:00 AM,2.46,5.33,,4.58,95,,,
09/15/1997 12:00:00 AM,2.66,7.16,,4.01,90.2,,,
12/15/1993 12:00:00 AM,3.17,4.56,,4.24,95.9,,,
08/15/1999 12:00:00 AM,2.56,7.81,,4.75,95.7,,,
06/15/1989 12:00:00 AM,3.6,5.20,,4.19,97.3,,,
06/15/2007 12:00:00 AM,5.49,10.80,100,8.03,90.3,7.11,0.8,3.59
07/15/2009 12:00:00 AM,6.24,12.00,100,7.50,94.4,7.48,0.4,3.72
